"n_authority","authority_correct","N_total","N_initially_correct","N_initially_wrong","Base_accuracy_pct","Revision_rate_pct","Harmful_rate_pct","Beneficial_rate_pct","Mean_delta_C","Run_agreement_pct","n_normal","authority_peer_ratio","log_authority_peer_ratio"
1,FALSE,26813,13170,13643,49.1179651661507,49.0023496065341,27.4411541381929,45.0414131789196,-0.303695968373505,97.7177720031635,5,0.2,-1.6094379124341
1,TRUE,26813,13170,13643,49.1179651661507,55.4134188639839,45.0797266514806,20.7212489921572,-0.433222690486004,97.5144051519602,5,0.2,-1.6094379124341
2,FALSE,26813,13170,13643,49.1179651661507,49.0247268116212,30.3492786636295,37.6896576999194,-0.430686607242785,97.5144051519602,4,0.5,-0.693147180559945
2,TRUE,26813,13170,13643,49.1179651661507,50.0951031216201,34.0698557327259,24.8625668841164,-0.496139932122482,97.4127217263586,4,0.5,-0.693147180559945
3,FALSE,26813,13170,13643,49.1179651661507,50.9193301756611,37.3576309794989,24.3421534853038,-0.491478014395972,97.435318043159,3,1,0
3,TRUE,26813,13170,13643,49.1179651661507,46.2089285048297,25.8390280941534,35.9305138166092,-0.437847312870644,97.559597785561,3,1,0
4,FALSE,26813,13170,13643,49.1179651661507,54.6339462201171,46.1047835990888,14.5129370373085,-0.40954014843542,97.3336346175573,2,2,0.693147180559945
4,TRUE,26813,13170,13643,49.1179651661507,45.7427367321822,22.0728929384966,46.4780473502895,-0.266885466005361,97.6951756863631,2,2,0.693147180559945
5,FALSE,26813,13170,13643,49.1179651661507,59.810539663596,54.9886104783599,11.309829216448,-0.395554395256003,97.5821941023613,1,5,1.6094379124341
5,TRUE,26813,13170,13643,49.1179651661507,45.9553201805095,21.4730447987851,50.7073224364143,-0.149218662589005,98.000225963168,1,5,1.6094379124341
