"Term","Estimate","SE","Statistic","P_value","CI_lower","CI_upper","Odds_Ratio","OR_CI_lower","OR_CI_upper","Std_Estimate_y_sd","Random_Intercept_Variance","N_observations","N_unique_instances","Model_Type","Simplification","P_value_method"
"(Intercept)",-0.622309868522003,0.0669870510050856,-9.29000245845661,3.77066107656369e-20,-0.753604488491971,-0.491015248552036,,,,-0.23869008248988,1.72659296986022,52980,1811,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"consensusunanimous correct",0.0767836919592263,0.0266406683122973,2.88219841406092,0.00395075429266886,0.0245679820671235,0.128999401851329,,,,0.0294507715443327,1.72659296986022,52980,1811,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"authoritypresent",-0.0581351453378669,0.0266406683122973,-2.18219545607389,0.0290996472881482,-0.11035085522997,-0.00591943544576414,,,,-0.0222980276196054,1.72659296986022,52980,1811,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelmistral_it",-1.55358790474804,0.0362833750086345,-42.8181751112825,0,-1.62470331976497,-1.48247248973112,,,,-0.595886460904611,1.72659296986022,52980,1811,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelgemma2_it",0.141630877328234,0.025743588880942,5.50159800885741,3.78103314498214e-08,0.0911734431215879,0.19208831153488,,,,0.0543232359031681,1.72659296986022,52980,1811,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"modelllama31_it",0.249644593639983,0.0271719678332653,9.18757872715996,4.15876137769353e-20,0.196387536686783,0.302901650593183,,,,0.0957524404853197,1.72659296986022,52980,1811,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"taskgeometric_shapes",1.85735755535932,0.139004596353107,13.3618427310214,5.30463751624991e-39,1.58490854650723,2.12980656421141,,,,0.71239883943162,1.72659296986022,52980,1811,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasklogical_deduction_seven_objects",0.269563555945179,0.120888150348754,2.22985921421999,0.0258848085915028,0.0326227812616224,0.506504330628736,,,,0.103392458740264,1.72659296986022,52980,1811,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"taskmmlu_pro",0.59287915456424,0.103262396115359,5.74148167065492,1.10558062134272e-08,0.390484858178137,0.795273450950344,,,,0.227401784010863,1.72659296986022,52980,1811,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktemporal_sequences",1.05840573470165,0.110586960967717,9.57080044012256,3.60823694885186e-21,0.84165529120492,1.27515617819837,,,,0.405956847066721,1.72659296986022,52980,1811,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktracking_shuffled_objects_five_objects",-0.0777164046731023,0.148709813679893,-0.522604411571595,0.601310778106642,-0.369187639485693,0.213754830139489,,,,-0.0298085182005816,1.72659296986022,52980,1811,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"tasktruthfulqa",0.349159915388023,0.0947311801090205,3.68579716822059,0.000235189564441805,0.163486802374343,0.534833028401703,,,,0.133922043055597,1.72659296986022,52980,1811,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
"consensusunanimous correct:authoritypresent",0.174933937334851,0.0376755944379341,4.64316329827344,3.43966878736484e-06,0.1010897722365,0.248778102433201,,,,0.0670967922008112,1.72659296986022,52980,1811,"lmerModLmerTest","full_bobyqa_100000","lmerTest"
