"consensus","authority","N_total","N_initially_correct","N_initially_wrong","Base_accuracy_pct","Revision_rate_pct","Harmful_rate_pct","Beneficial_rate_pct","Mean_delta_C","Run_agreement_pct"
"mixed","absent",27394,13245,14149,48.3500036504344,33.8614295101117,15.5605889014723,32.6666195490847,-0.300467255603391,97.2308031774051
"mixed","present",27394,13245,14149,48.3500036504344,37.5848725998394,20.6040015100038,30.3908403420736,-0.337336643060511,97.2308031774051
"unanimous correct","absent",27394,13245,14149,48.3500036504344,50.3285390961524,27.5877689694224,51.4665347374373,-0.383989194714182,97.396293027361
"unanimous correct","present",27394,13245,14149,48.3500036504344,50.894356428415,26.6817667044168,53.9684783376917,-0.25268306928524,97.7824360105914
"unanimous wrong","absent",27394,13245,14149,48.3500036504344,63.0174490764401,62.8539071347678,7.20899003463142,-0.478316419653924,97.6169461606355
"unanimous wrong","present",27394,13245,14149,48.3500036504344,65.0653427757903,65.0283125707814,7.39274860414164,-0.413083156895735,97.716240070609
