"reasoning_depth","consensus","authority","N_total","N_initially_correct","N_initially_wrong","Base_accuracy_pct","Revision_rate_pct","Harmful_rate_pct","Beneficial_rate_pct","Mean_delta_C","Run_agreement_pct"
"cot","mixed","absent",28163,16213,11950,57.5684408621241,38.4724638710365,37.3033985073706,16.5271966527197,-0.479103788658855,69.8367791077258
"cot","mixed","present",28163,16213,11950,57.5684408621241,40.6206725135817,39.8569049528156,16.2510460251046,-0.501331534282671,68.683351468988
"cot","unanimous correct","absent",28163,16213,11950,57.5684408621241,43.9264282924404,40.627891198421,31.6569037656904,-0.561658914178134,66.7899891186072
"cot","unanimous correct","present",28163,16213,11950,57.5684408621241,45.6876043035188,41.8429655214951,33.2970711297071,-0.546816745375076,68.1175190424374
"cot","unanimous wrong","absent",28163,16213,11950,57.5684408621241,40.372119447502,35.9896379448591,7.81589958158996,-0.614636224833992,66.5397170837867
"cot","unanimous wrong","present",28163,16213,11950,57.5684408621241,41.1426339523488,36.93332510948,7.84100418410042,-0.645421297446967,65.1577801958651
"shallow","mixed","absent",27394,13245,14149,48.3500036504344,33.8614295101117,15.5605889014723,32.6666195490847,-0.300467255603391,97.2308031774051
"shallow","mixed","present",27394,13245,14149,48.3500036504344,37.5848725998394,20.6040015100038,30.3908403420736,-0.337336643060511,97.2308031774051
"shallow","unanimous correct","absent",27394,13245,14149,48.3500036504344,50.3285390961524,27.5877689694224,51.4665347374373,-0.383989194714182,97.396293027361
"shallow","unanimous correct","present",27394,13245,14149,48.3500036504344,50.894356428415,26.6817667044168,53.9684783376917,-0.25268306928524,97.7824360105914
"shallow","unanimous wrong","absent",27394,13245,14149,48.3500036504344,63.0174490764401,62.8539071347678,7.20899003463142,-0.478316419653924,97.6169461606355
"shallow","unanimous wrong","present",27394,13245,14149,48.3500036504344,65.0653427757903,65.0283125707814,7.39274860414164,-0.413083156895735,97.716240070609
